service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
763623,1,1,1,1,1,1,1,20260903,20260930
763624,1,1,1,1,1,1,1,20260903,20260930
763625,1,1,1,1,1,1,1,20260903,20260930
763626,1,1,1,1,1,1,1,20260903,20260930
763627,1,1,1,1,1,1,1,20260903,20260930
763628,1,1,1,1,1,1,1,20260903,20260930
763629,1,1,1,1,1,1,1,20260903,20260930
763630,1,1,1,1,1,1,1,20260903,20260930
763631,1,1,1,1,1,1,1,20260903,20260930
763632,1,1,1,1,1,1,1,20260903,20260930
763633,1,1,1,1,1,1,1,20260903,20260930
763636,1,1,1,1,1,1,1,20260903,20260930
763637,1,1,1,1,1,1,1,20260903,20260930
763638,1,1,1,1,1,1,1,20260903,20260930
763639,1,1,1,1,1,1,1,20260903,20260930
763640,1,1,1,1,1,1,1,20260903,20260930
763641,1,1,1,1,1,1,1,20260903,20260930
763642,1,1,1,1,1,1,1,20260903,20260930
763643,1,1,1,1,1,1,1,20260903,20260930
763644,1,1,1,1,1,1,1,20260903,20260930
763645,1,1,1,1,1,1,1,20260903,20260930
763646,1,1,1,1,1,1,1,20260903,20260930
763647,1,1,1,1,1,1,1,20260903,20260930
763648,1,1,1,1,1,1,1,20260903,20260930
763649,1,1,1,1,1,1,1,20260903,20260930
763650,1,1,1,1,1,1,1,20260903,20260930
763651,1,1,1,1,1,1,1,20260903,20260930
763652,1,1,1,1,1,1,1,20260903,20260930
763653,1,1,1,1,1,1,1,20260903,20260930
763654,1,1,1,1,1,1,1,20260903,20260930
763655,1,1,1,1,1,1,1,20260903,20260930
763656,1,1,1,1,1,1,1,20260903,20260930
763657,1,1,1,1,1,1,1,20260903,20260930
763658,1,1,1,1,1,1,1,20260903,20260930
763659,1,1,1,1,1,1,1,20260903,20260930
763660,1,1,1,1,1,1,1,20260903,20260930
763661,1,1,1,1,1,1,1,20260903,20260930
763662,1,1,1,1,1,1,1,20260903,20260930
763663,1,1,1,1,1,1,1,20260903,20260930
763664,1,1,1,1,1,1,1,20260903,20260930
763665,1,1,1,1,1,1,1,20260903,20260930
763666,1,1,1,1,1,1,1,20260903,20260930
763667,1,1,1,1,1,1,1,20260903,20260930
763669,1,1,1,1,1,1,1,20260903,20260930
763670,1,1,1,1,1,1,1,20260903,20260930
763671,1,1,1,1,1,1,1,20260903,20260930
763672,1,1,1,1,1,1,1,20260903,20260930
763675,1,1,1,1,1,1,1,20260903,20260930
763676,1,1,1,1,1,1,1,20260903,20260930
763677,1,1,1,1,1,1,1,20260903,20260930
763678,1,1,1,1,1,1,1,20260903,20260930
763679,1,1,1,1,1,1,1,20260903,20260930
763680,1,1,1,1,1,1,1,20260903,20260930
763681,1,1,1,1,1,1,1,20260903,20260930
763682,1,1,1,1,1,1,1,20260903,20260930
763683,1,1,1,1,1,1,1,20260903,20260930
763684,1,1,1,1,1,1,1,20260903,20260930
763685,1,1,1,1,1,1,1,20260903,20260930
763686,1,1,1,1,1,1,1,20260903,20260930
763687,1,1,1,1,1,1,1,20260903,20260930
763688,1,1,1,1,1,1,1,20260903,20260930
763689,1,1,1,1,1,1,1,20260903,20260930
763690,1,1,1,1,1,1,1,20260903,20260930
763691,1,1,1,1,1,1,1,20260903,20260930
763692,1,1,1,1,1,1,1,20260903,20260930
763693,1,1,1,1,1,1,1,20260903,20260930
763694,1,1,1,1,1,1,1,20260903,20260930
763695,1,1,1,1,1,1,1,20260903,20260930
763696,1,1,1,1,1,1,1,20260903,20260930
763697,1,1,1,1,1,1,1,20260903,20260930
763698,1,1,1,1,1,1,1,20260903,20260930
763699,1,1,1,1,1,1,1,20260903,20260930
763700,1,1,1,1,1,1,1,20260903,20260930
763701,1,1,1,1,1,1,1,20260903,20260930
763702,1,1,1,1,1,1,1,20260903,20260930
763703,1,1,1,1,1,1,1,20260903,20260930
763704,1,1,1,1,1,1,1,20260903,20260930
763705,1,1,1,1,1,1,1,20260903,20260930
763706,1,1,1,1,1,1,1,20260903,20260930
763709,1,1,1,1,1,1,1,20260903,20260930
763710,1,1,1,1,1,1,1,20260903,20260930
763711,1,1,1,1,1,1,1,20260903,20260930
763712,1,1,1,1,1,1,1,20260903,20260930
763713,1,1,1,1,1,1,1,20260903,20260930
763714,1,1,1,1,1,1,1,20260903,20260930
763715,1,1,1,1,1,1,1,20260903,20260930
763716,1,1,1,1,1,1,1,20260903,20260930
763717,1,1,1,1,1,1,1,20260903,20260930
763718,1,1,1,1,1,1,1,20260903,20260930
763719,1,1,1,1,1,1,1,20260903,20260930
763720,1,1,1,1,1,1,1,20260903,20260930
763721,1,1,1,1,1,1,1,20260903,20260930
763722,1,1,1,1,1,1,1,20260903,20260930
763723,1,1,1,1,1,1,1,20260903,20260930
763724,1,1,1,1,1,1,1,20260903,20260930
763725,1,1,1,1,1,1,1,20260903,20260930
763726,1,1,1,1,1,1,1,20260903,20260930
763727,1,1,1,1,1,1,1,20260903,20260930
763728,1,1,1,1,1,1,1,20260903,20260930
763729,1,1,1,1,1,1,1,20260903,20260930
763730,1,1,1,1,1,1,1,20260903,20260930
763732,1,1,1,1,1,1,1,20260903,20260930
763733,1,1,1,1,1,1,1,20260903,20260930
763734,1,1,1,1,1,1,1,20260903,20260930
763735,1,1,1,1,1,1,1,20260903,20260930
763738,1,1,1,1,1,1,1,20260903,20260930
763739,1,1,1,1,1,1,1,20260903,20260930
763740,1,1,1,1,1,1,1,20260903,20260930
