route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
2155,1,101,Londyńska - Śląska Pole Golfowe,,3,,00B050,F5F5F5
2152,1,101,Śląska Pole Golfowe - Londyńska,,3,,4F6128,F5F5F5
39,1,111,Śląska Pole Golfowe - Chwalęcice Kościelna,,3,,008000,F5F5F5
54,1,111,Chwalęcice Kościelna - Śląska Pole Golfowe,,3,,00B050,F5F5F5
2381,1,106,AWF - Odlewników,,3,,953734,F5F5F5
2497,1,106,Odlewników - AWF,,3,,A52A2A,F5F5F5
692,1,130,AWF - Baczyna,,3,,5F497A,F5F5F5
872,1,130,Baczyna - Rondo Szczecińskie,,3,,00B050,F5F5F5
327,1,136,Śląska Pole Golfowe - Małyszyńska,,3,,00CED1,282828
336,1,136,Małyszyńska - Śląska Pole Golfowe,,3,,00CED1,282828
1262,1,126,Rondo Myśliborskie - Dekerta Szpital,,3,,E36C09,282828
309,1,126,Dekerta Szpital - TPV,,3,,00B0F0,282828
258,1,104,TPV - Bora-Komorowskiego,,3,,0066CC,F5F5F5
8,1,104,Bora-Komorowskiego - Słowiańska,,3,,953734,F5F5F5
1529,1,104,Słowiańska - Bora-Komorowskiego,,3,,F00000,F5F5F5
27,1,103,Słowiańska - Strażacka,,3,,4BACC6,282828
25,1,103,Strażacka - Słowiańska,,3,,4F6128,F5F5F5
1,1,126,Os. Staszica - Dekerta Szpital,,3,,205867,F5F5F5
360,1,135,Dekerta Szpital - Małyszyńska,,3,,F00000,F5F5F5
385,1,135,Małyszyńska - Dekerta Szpital,,3,,F00000,F5F5F5
11,1,126,Dekerta Szpital - Os. Staszica,,3,,953734,F5F5F5
2242,1,123,Bora-Komorowskiego - TPV,,3,,FF1493,F5F5F5
288,1,126,TPV - Dekerta Szpital,,3,,00B0F0,282828
2868,1,132,Bora-Komorowskiego - Cmentarz Brama II,,3,,953734,F5F5F5
2867,1,132,Cmentarz Brama II - Bora-Komorowskiego,,3,,D99694,282828
2499,1,109,Londyńska - Fieldorfa""Nila"",,3,,953734,F5F5F5
2276,1,123,TPV - Bora-Komorowskiego,,3,,FF1493,F5F5F5
1831,1,1,Wieprzyce PKP - Fieldorfa""Nila"",,0,,0070C0,F5F5F5
1689,1,3,Fieldorfa""Nila"" - Piaski,,0,,E36C09,282828
1682,1,3,Piaski - Fieldorfa""Nila"",,0,,974806,F5F5F5
1744,1,1,Fieldorfa""Nila"" - Wieprzyce PKP,,0,,00B0F0,282828
2501,1,109,Fieldorfa""Nila"" - Londyńska,,3,,FF1493,F5F5F5
16,1,125,Dekerta Szpital - Śląska Pole Golfowe,,3,,E36A08,282828
9,1,124,Os. Staszica - Prefadom,,3,,7030A0,F5F5F5
42,1,2,Piaski - Wieprzyce PKP,,0,,F00000,F5F5F5
2263,1,134,Strażacka - Dekerta Szpital,,3,,A12600,F5F5F5
44,1,111,Cmentarz Brama II - Śląska Pole Golfowe,,3,,D99694,282828
6,1,125,Śląska Pole Golfowe - Dekerta Szpital,,3,,974806,F5F5F5
2266,1,119,Zajezdnia Kostrzyńska - Chróścik INNEKO,,3,,F00000,F5F5F5
2290,1,119,Chróścik INNEKO - Zajezdnia Kostrzyńska,,3,,F00000,F5F5F5
2140,1,510,Zajezdnia Kostrzyńska - Zajezdnia Kostrzyńska,,3,,0070C0,F5F5F5
2697,1,511,Zajezdnia Kostrzyńska - Zajezdnia Kostrzyńska,,3,,E36C09,282828
2698,1,512,Zajezdnia Kostrzyńska - Zajezdnia Kostrzyńska,,3,,00B0F0,282828
14,1,2,Wieprzyce PKP - Piaski,,0,,00B050,F5F5F5
343,1,104,Bora-Komorowskiego - TPV,,3,,0066CC,F5F5F5
1372,1,104,Rondo Szczecińskie - Bora-Komorowskiego,,3,,FE632D,282828
2241,1,108,Strażacka - Os. Staszica,,3,,C0504D,F5F5F5
2232,1,402,Os. Staszica - Zajezdnia Kostrzyńska,,3,,953734,F5F5F5
2259,1,119,TPV - Zajezdnia Kostrzyńska,,3,,D60093,F5F5F5
1373,1,136,Krzywoustego - Małyszyńska,,3,,00CED1,282828
2285,1,134,Dekerta Szpital - Strażacka,,3,,F00000,F5F5F5
417,1,401,Zajezdnia Kostrzyńska - Śląska Pole Golfowe,,3,,DA70D6,282828
843,1,103,AWF - Strażacka,,3,,8B4513,F5F5F5
34,1,111,Śląska Pole Golfowe - Cmentarz Brama II,,3,,F00000,F5F5F5
1377,1,103,Rondo Szczecińskie - Strażacka,,3,,A5853A,282828
1895,1,4,Fieldorfa""Nila"" - Dworzec Główny,,0,,CCC1D9,282828
1977,1,4,Dworzec Główny - Fieldorfa""Nila"",,0,,7030A0,F5F5F5
2249,1,121,Śląska Pole Golfowe - TPV,,3,,E36C09,282828
265,1,121,TPV - Śląska Pole Golfowe,,3,,F00000,F5F5F5
410,1,401,Śląska Pole Golfowe - Zajezdnia Kostrzyńska,,3,,953734,F5F5F5
664,1,103,Strażacka - TPV,,3,,8A2BE2,F5F5F5
666,1,103,TPV - Strażacka,,3,,8A2BE2,F5F5F5
2811,1,100,Katedra - Siedlice Ujęcie Wody,,3,,C00000,F5F5F5
2805,1,100,Siedlice Ujęcie Wody - Os. Staszica,,3,,00B050,F5F5F5
2800,1,100,Os. Staszica - Siedlice Ujęcie Wody,,3,,0070C0,F5F5F5
2798,1,112,Os. Staszica - Łagodzin,,3,,B48700,282828
2794,1,112,Łagodzin - Os. Staszica,,3,,C49300,282828
1431,1,103,Strażacka - Rondo Szczecińskie,,3,,008B8B,F5F5F5
951,1,113,AWF - Wawrów Stadion,,3,,F00000,F5F5F5
1027,1,113,Wawrów Stadion - TPV,,3,,FF00FF,F5F5F5
1029,1,113,TPV - Wawrów Stadion,,3,,FF00FF,F5F5F5
12,1,113,Wawrów Stadion - Os. Staszica,,3,,9D7DD8,282828
