route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2155,763623,763623,,,0,48330,1,
2152,763624,763624,,,1,48330,2,
2155,763625,763625,,,0,48330,1,
2152,763626,763626,,,1,48330,2,
2155,763627,763627,,,0,48330,1,
2152,763628,763628,,,1,48330,2,
2155,763629,763629,,,0,48330,1,
2152,763630,763630,,,1,48330,2,
2155,763631,763631,,,0,48330,1,
2152,763632,763632,,,1,48330,2,
2155,763633,763633,,,0,48330,1,
2155,763636,763636,,,0,48331,1,
2152,763637,763637,,,1,48331,2,
2155,763638,763638,,,0,48331,1,
39,763639,763639,,,1,48331,3,
54,763640,763640,,,0,48331,4,
2152,763641,763641,,,1,48331,2,
2155,763642,763642,,,0,48331,1,
2152,763643,763643,,,1,48331,2,
2155,763644,763644,,,0,48331,1,
2152,763645,763645,,,1,48331,2,
2155,763646,763646,,,0,48331,1,
2152,763647,763647,,,1,48331,2,
2155,763648,763648,,,0,48331,1,
2152,763649,763649,,,1,48331,2,
2155,763650,763650,,,0,48331,1,
2152,763651,763651,,,1,48331,2,
2155,763652,763652,,,0,48331,1,
2152,763653,763653,,,1,48331,2,
2155,763654,763654,,,0,48331,1,
2152,763655,763655,,,1,48331,2,
2155,763656,763656,,,0,48331,1,
2152,763657,763657,,,1,48331,2,
2155,763658,763658,,,0,48331,1,
2152,763659,763659,,,1,48331,2,
2155,763660,763660,,,0,48331,1,
2152,763661,763661,,,1,48331,2,
2155,763662,763662,,,0,48331,1,
2152,763663,763663,,,1,48331,2,
2155,763664,763664,,,0,48331,1,
2152,763665,763665,,,1,48331,2,
2155,763666,763666,,,0,48331,1,
2152,763667,763667,,,1,48331,2,
2381,763669,763669,,,1,48331,5,
2497,763670,763670,,,0,48331,6,
692,763671,763671,,,1,48331,7,
872,763672,763672,,,0,48331,8,
327,763675,763675,,,1,48332,9,
336,763676,763676,,,0,48332,10,
2152,763677,763677,,,1,48332,2,
2155,763678,763678,,,0,48332,1,
2152,763679,763679,,,1,48332,2,
2155,763680,763680,,,0,48332,1,
2152,763681,763681,,,1,48332,2,
2155,763682,763682,,,0,48332,1,
2152,763683,763683,,,1,48332,2,
2155,763684,763684,,,0,48332,1,
2152,763685,763685,,,1,48332,2,
2155,763686,763686,,,0,48332,1,
2152,763687,763687,,,1,48332,2,
2155,763688,763688,,,0,48332,1,
2152,763689,763689,,,1,48332,2,
2155,763690,763690,,,0,48332,1,
2152,763691,763691,,,1,48332,2,
2155,763692,763692,,,0,48332,1,
2152,763693,763693,,,1,48332,2,
2155,763694,763694,,,0,48332,1,
2152,763695,763695,,,1,48332,2,
2155,763696,763696,,,0,48332,1,
2152,763697,763697,,,1,48332,2,
2155,763698,763698,,,0,48332,1,
2152,763699,763699,,,1,48332,2,
2155,763700,763700,,,0,48332,1,
2152,763701,763701,,,1,48332,2,
2155,763702,763702,,,0,48332,1,
2152,763703,763703,,,1,48332,2,
2155,763704,763704,,,0,48332,1,
327,763705,763705,,,1,48332,9,
336,763706,763706,,,0,48332,10,
1262,763709,763709,,,1,48333,11,
309,763710,763710,,,0,48333,12,
258,763711,763711,,,1,48333,13,
8,763712,763712,,,0,48333,14,
1529,763713,763713,,,1,48333,15,
8,763714,763714,,,0,48333,14,
1529,763715,763715,,,1,48333,15,
8,763716,763716,,,0,48333,14,
1529,763717,763717,,,1,48333,15,
8,763718,763718,,,0,48333,14,
1529,763719,763719,,,1,48333,15,
8,763720,763720,,,0,48333,14,
1529,763721,763721,,,1,48333,15,
8,763722,763722,,,0,48333,14,
1529,763723,763723,,,1,48333,15,
8,763724,763724,,,0,48333,14,
1529,763725,763725,,,1,48333,15,
8,763726,763726,,,0,48333,14,
1529,763727,763727,,,1,48333,15,
8,763728,763728,,,0,48333,14,
27,763729,763729,,,1,48333,16,
25,763730,763730,,,0,48333,17,
1,763732,763732,,,1,48333,18,
360,763733,763733,,,0,48333,19,
385,763734,763734,,,1,48333,20,
11,763735,763735,,,0,48333,21,
2242,763738,763738,,,1,48334,22,
288,763739,763739,,,1,48334,23,
11,763740,763740,,,0,48334,21,
1529,763742,763742,,,1,48334,15,
8,763743,763743,,,0,48334,14,
27,763744,763744,,,1,48334,16,
25,763745,763745,,,0,48334,17,
1529,763746,763746,,,1,48334,15,
2868,763747,763747,,,1,48334,24,
2867,763748,763748,,,0,48334,25,
8,763749,763749,,,0,48334,14,
27,763750,763750,,,1,48334,16,
25,763751,763751,,,0,48334,17,
27,763752,763752,,,1,48334,16,
25,763753,763753,,,0,48334,17,
27,763754,763754,,,1,48334,16,
25,763755,763755,,,0,48334,17,
1529,763756,763756,,,1,48334,15,
8,763757,763757,,,0,48334,14,
1529,763758,763758,,,1,48334,15,
8,763759,763759,,,0,48334,14,
2499,763761,763761,,,0,48334,26,
2242,763763,763763,,,1,48334,22,
2276,763764,763764,,,0,48334,27,
2499,763767,763767,,,0,48335,26,
1831,761614,761614,,,1,48078,28,
1689,761615,761615,,,0,48078,29,
1682,761653,761653,,,1,48078,30,
1744,761654,761654,,,0,48078,31,
1831,761655,761655,,,1,48078,28,
1744,761656,761656,,,0,48078,31,
1831,761657,761657,,,1,48078,28,
1689,761658,761658,,,0,48078,29,
1682,761659,761659,,,1,48078,30,
1689,761660,761660,,,0,48078,29,
1682,761661,761661,,,1,48078,30,
1689,761662,761662,,,0,48078,29,
1682,761663,761663,,,1,48078,30,
1689,761664,761664,,,0,48078,29,
1682,761665,761665,,,1,48078,30,
1529,762318,762318,,,1,47701,15,
2242,762319,762319,,,1,48291,22,
258,762320,762320,,,1,47717,13,
2501,762321,762321,,,1,48305,32,
2155,762322,762322,,,0,47706,1,
1529,762323,762323,,,1,47705,15,
2868,762324,762324,,,1,47705,24,
2867,762325,762325,,,0,47705,25,
8,762326,762326,,,0,47705,14,
27,762327,762327,,,1,48108,16,
25,762328,762328,,,0,48108,17,
27,762329,762329,,,1,48108,16,
25,762330,762330,,,0,48108,17,
1529,762331,762331,,,1,47748,15,
8,762332,762332,,,0,47739,14,
1831,761184,761184,,,1,48068,28,
1689,761185,761185,,,0,48068,29,
1682,761186,761186,,,1,48068,30,
1689,761187,761187,,,0,48068,29,
1682,761188,761188,,,1,48068,30,
1744,761189,761189,,,0,48068,31,
1831,761190,761190,,,1,48068,28,
1744,761191,761191,,,0,48068,31,
1831,761225,761225,,,1,48068,28,
1744,761226,761226,,,0,48068,31,
1,762866,762866,,,1,47720,18,
16,762868,762868,,,0,47732,33,
9,762869,762869,,,1,47734,34,
1689,761666,761666,,,0,48078,29,
1682,761667,761667,,,1,48078,30,
1689,761668,761668,,,0,48078,29,
1682,761669,761669,,,1,48078,30,
1689,761670,761670,,,0,48078,29,
1682,761690,761690,,,1,48078,30,
1689,761691,761691,,,0,48078,29,
1682,761692,761692,,,1,48078,30,
1689,761693,761693,,,0,48078,29,
1682,761694,761694,,,1,48078,30,
1689,761695,761695,,,0,48078,29,
42,761696,761696,,,0,48078,35,
1831,761699,761699,,,1,48079,28,
1689,761700,761700,,,0,48079,29,
1529,762333,762333,,,1,47749,15,
1529,762334,762334,,,1,48122,15,
8,762335,762335,,,0,48122,14,
1529,762336,762336,,,1,48122,15,
8,762354,762354,,,0,48122,14,
1529,762355,762355,,,1,48122,15,
8,762356,762356,,,0,48122,14,
1529,762357,762357,,,1,48122,15,
8,762358,762358,,,0,48122,14,
2381,762359,762359,,,1,48292,5,
2497,762360,762360,,,0,48292,6,
692,762361,762361,,,1,48116,7,
872,762362,762362,,,0,48116,8,
2242,762364,762364,,,1,47748,22,
258,762365,762365,,,1,47717,13,
8,762366,762366,,,0,47717,14,
1529,762367,762367,,,1,48299,15,
1831,761227,761227,,,1,48068,28,
1744,761228,761228,,,0,48068,31,
1831,761229,761229,,,1,48068,28,
1744,761230,761230,,,0,48068,31,
1831,761231,761231,,,1,48068,28,
1744,761232,761232,,,0,48068,31,
1831,761233,761233,,,1,48068,28,
1744,761234,761234,,,0,48068,31,
1831,761235,761235,,,1,48068,28,
1744,761236,761236,,,0,48068,31,
1831,761237,761237,,,1,48068,28,
1744,761238,761238,,,0,48068,31,
1831,761239,761239,,,1,48068,28,
1744,761240,761240,,,0,48068,31,
9,762870,762870,,,1,47743,34,
2263,762872,762872,,,0,47697,36,
44,762874,762874,,,0,47702,37,
54,762875,762875,,,0,47732,4,
6,762883,762883,,,1,48292,38,
2266,762810,762810,,,1,47787,39,
2290,762811,762811,,,0,47787,40,
2140,762812,762812,,,1,47787,41,
2140,762813,762813,,,1,47787,41,
2140,762814,762814,,,1,47787,41,
2140,762815,762815,,,1,47787,41,
2697,762837,762837,,,1,47788,42,
2698,762838,762838,,,1,47788,43,
2698,762839,762839,,,1,47788,43,
1682,761701,761701,,,1,48079,30,
1689,761702,761702,,,0,48079,29,
1682,761703,761703,,,1,48079,30,
1689,761704,761704,,,0,48079,29,
1682,761705,761705,,,1,48079,30,
1689,761725,761725,,,0,48079,29,
1682,761726,761726,,,1,48079,30,
1689,761727,761727,,,0,48079,29,
1682,761728,761728,,,1,48079,30,
1689,761729,761729,,,0,48079,29,
1682,761730,761730,,,1,48079,30,
1689,761731,761731,,,0,48079,29,
1682,761732,761732,,,1,48079,30,
1689,761733,761733,,,0,48079,29,
1682,761734,761734,,,1,48079,30,
1689,761735,761735,,,0,48079,29,
1682,761736,761736,,,1,48079,30,
1689,761737,761737,,,0,48079,29,
14,761262,761262,,,1,48069,44,
1682,761263,761263,,,1,48069,30,
1744,761264,761264,,,0,48069,31,
1831,761265,761265,,,1,48069,28,
1744,761266,761266,,,0,48069,31,
1831,761267,761267,,,1,48069,28,
1744,761268,761268,,,0,48069,31,
1831,761269,761269,,,1,48069,28,
1744,761270,761270,,,0,48069,31,
1831,761271,761271,,,1,48069,28,
1744,761272,761272,,,0,48069,31,
1831,761273,761273,,,1,48069,28,
1744,761274,761274,,,0,48069,31,
1831,761275,761275,,,1,48069,28,
1744,761276,761276,,,0,48069,31,
1831,761277,761277,,,1,48069,28,
1744,761278,761278,,,0,48069,31,
8,762368,762368,,,0,48303,14,
1529,762369,762369,,,1,47748,15,
8,762370,762370,,,0,47748,14,
1529,762371,762371,,,1,48303,15,
8,762372,762372,,,0,48303,14,
1529,762373,762373,,,1,47705,15,
1529,762374,762374,,,1,48303,15,
1529,762375,762375,,,1,48303,15,
8,762376,762376,,,0,47708,14,
1529,762377,762377,,,1,47708,15,
8,762378,762378,,,0,47708,14,
1529,762379,762379,,,1,48106,15,
8,762380,762380,,,0,48106,14,
1529,762381,762381,,,1,47701,15,
8,762382,762382,,,0,47701,14,
1529,762383,762383,,,1,47701,15,
343,762384,762384,,,0,47701,45,
2276,762385,762385,,,0,48106,27,
1682,761738,761738,,,1,48079,30,
